"_raw","_time",host,index,linecount,source,sourcetype,"splunk_server","tag::host"
"2018-01-23T04:14:11.278486-05:00 lfs-mgmt2.ccs.ornl.gov fprof.fsize_perc.hist: Bin_LE_4.00_KiB = 0.00044847271064, Bin_LE_8.00_KiB = 0.000832985669946, Bin_LE_16.00_KiB = 0.00278546977598, Bin_LE_32.00_KiB = 0.00428145162836, Bin_LE_64.00_KiB = 0.00555698575612, Bin_LE_128.00_KiB = 0.00640482962, Bin_LE_256.00_KiB = 0.0485755564521, Bin_LE_512.00_KiB = 0.0434018542041, Bin_LE_1.00_MiB = 0.207164528093, Bin_LE_2.00_MiB = 0.354087690469, Bin_LE_4.00_MiB = 1.83753977076, Bin_LE_16.00_MiB = 4.4134338108, Bin_LE_32.00_MiB = 1.86759851287, Bin_LE_64.00_MiB = 6.62749201754, Bin_LE_128.00_MiB = 21.243558316, Bin_LE_256.00_MiB = 2.48593494198, Bin_LE_512.00_MiB = 2.77613668952, Bin_LE_1.00_GiB = 4.3995824812, Bin_LE_4.00_GiB = 12.6831318915, Bin_LE_64.00_GiB = 25.9703485509, Bin_LE_128.00_GiB = 1.89809566567, Bin_LE_256.00_GiB = 2.64576768113, Bin_LE_512.00_GiB = 3.49559236227, Bin_LE_1.00_TiB = 3.97745695539, Bin_LE_4.00_TiB = 1.75427978234, Bin_GT_4.00_TiB = 1.25051074574","2018-01-23T04:14:11.278-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T04:14:11.277953-05:00 lfs-mgmt2.ccs.ornl.gov fprof.filecount.hist: Bin_LE_4.00_KiB = 45345344, Bin_LE_8.00_KiB = 13439570, Bin_LE_16.00_KiB = 21094063, Bin_LE_32.00_KiB = 16626430, Bin_LE_64.00_KiB = 10843263, Bin_LE_128.00_KiB = 6271592, Bin_LE_256.00_KiB = 24950439, Bin_LE_512.00_KiB = 10762725, Bin_LE_1.00_MiB = 25941044, Bin_LE_2.00_MiB = 22504062, Bin_LE_4.00_MiB = 48991719, Bin_LE_16.00_MiB = 44589763, Bin_LE_32.00_MiB = 6612308, Bin_LE_64.00_MiB = 12861294, Bin_LE_128.00_MiB = 18876571, Bin_LE_256.00_MiB = 1184501, Bin_LE_512.00_MiB = 688465, Bin_LE_1.00_GiB = 550148, Bin_LE_4.00_GiB = 657513, Bin_LE_64.00_GiB = 220804, Bin_LE_128.00_GiB = 1893, Bin_LE_256.00_GiB = 1268, Bin_LE_512.00_GiB = 762, Bin_LE_1.00_TiB = 460, Bin_LE_4.00_TiB = 86, Bin_GT_4.00_TiB = 12","2018-01-23T04:14:11.277-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T04:14:11.271607-05:00 lfs-mgmt2.ccs.ornl.gov fprof.scan_rate: 6679","2018-01-23T04:14:11.271-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T04:14:11.271486-05:00 lfs-mgmt2.ccs.ornl.gov fprof.walktime: 16h 35m","2018-01-23T04:14:11.271-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T04:14:11.271341-05:00 lfs-mgmt2.ccs.ornl.gov fprof.avg_file_size: 26.49 MiB","2018-01-23T04:14:11.271-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T04:14:11.271227-05:00 lfs-mgmt2.ccs.ornl.gov fprof.total_file_size: 8412.03 TiB","2018-01-23T04:14:11.271-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T04:14:11.271115-05:00 lfs-mgmt2.ccs.ornl.gov fprof.file_count: 333016099","2018-01-23T04:14:11.271-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T04:14:11.271005-05:00 lfs-mgmt2.ccs.ornl.gov fprof.sym_count: 10362075","2018-01-23T04:14:11.271-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T04:14:11.270889-05:00 lfs-mgmt2.ccs.ornl.gov fprof.dir_count: 55521691","2018-01-23T04:14:11.270-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T04:14:11.270751-05:00 lfs-mgmt2.ccs.ornl.gov fprof.version: 0.16","2018-01-23T04:14:11.270-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T04:14:11.270562-05:00 lfs-mgmt2.ccs.ornl.gov fprof.rootpath: /lustre/atlas1","2018-01-23T04:14:11.270-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T00:45:39.310352-05:00 lfs-mgmt2.ccs.ornl.gov fprof.fsize_perc.hist: Bin_LE_4.00_KiB = 0.00106383364442, Bin_LE_8.00_KiB = 0.00102453760748, Bin_LE_16.00_KiB = 0.00175666748794, Bin_LE_32.00_KiB = 0.00340744966311, Bin_LE_64.00_KiB = 0.00984158815081, Bin_LE_128.00_KiB = 0.00910771240143, Bin_LE_256.00_KiB = 0.0492339089476, Bin_LE_512.00_KiB = 0.0332143562093, Bin_LE_1.00_MiB = 0.306828830655, Bin_LE_2.00_MiB = 0.158375236527, Bin_LE_4.00_MiB = 0.406011746589, Bin_LE_16.00_MiB = 0.96270800126, Bin_LE_32.00_MiB = 0.680739928366, Bin_LE_64.00_MiB = 2.29402773542, Bin_LE_128.00_MiB = 2.61435620415, Bin_LE_256.00_MiB = 1.44403241023, Bin_LE_512.00_MiB = 3.67117651394, Bin_LE_1.00_GiB = 4.37448195391, Bin_LE_4.00_GiB = 9.58682521946, Bin_LE_64.00_GiB = 30.8172400397, Bin_LE_128.00_GiB = 1.66190465106, Bin_LE_256.00_GiB = 13.1706558084, Bin_LE_512.00_GiB = 3.68441296644, Bin_LE_1.00_TiB = 3.98750176072, Bin_LE_4.00_TiB = 6.12325578474, Bin_GT_4.00_TiB = 13.9468151543","2018-01-23T00:45:39.310-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T00:45:39.308321-05:00 lfs-mgmt2.ccs.ornl.gov fprof.filecount.hist: Bin_LE_4.00_KiB = 90707019, Bin_LE_8.00_KiB = 16842497, Bin_LE_16.00_KiB = 14547513, Bin_LE_32.00_KiB = 14478329, Bin_LE_64.00_KiB = 19438982, Bin_LE_128.00_KiB = 9578399, Bin_LE_256.00_KiB = 21602310, Bin_LE_512.00_KiB = 8036054, Bin_LE_1.00_MiB = 35866315, Bin_LE_2.00_MiB = 10123595, Bin_LE_4.00_MiB = 12912306, Bin_LE_16.00_MiB = 10750444, Bin_LE_32.00_MiB = 2416087, Bin_LE_64.00_MiB = 4274791, Bin_LE_128.00_MiB = 2472805, Bin_LE_256.00_MiB = 621897, Bin_LE_512.00_MiB = 835462, Bin_LE_1.00_GiB = 599376, Bin_LE_4.00_GiB = 521482, Bin_LE_64.00_GiB = 362896, Bin_LE_128.00_GiB = 1745, Bin_LE_256.00_GiB = 7766, Bin_LE_512.00_GiB = 757, Bin_LE_1.00_TiB = 409, Bin_LE_4.00_TiB = 245, Bin_GT_4.00_TiB = 191","2018-01-23T00:45:39.308-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T00:45:39.295190-05:00 lfs-mgmt2.ccs.ornl.gov fprof.scan_rate: 7169","2018-01-23T00:45:39.295-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T00:45:39.295056-05:00 lfs-mgmt2.ccs.ornl.gov fprof.walktime: 13h 35m","2018-01-23T00:45:39.295-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T00:45:39.294907-05:00 lfs-mgmt2.ccs.ornl.gov fprof.avg_file_size: 33.41 MiB","2018-01-23T00:45:39.294-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T00:45:39.294779-05:00 lfs-mgmt2.ccs.ornl.gov fprof.total_file_size: 8826.33 TiB","2018-01-23T00:45:39.294-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T00:45:39.294642-05:00 lfs-mgmt2.ccs.ornl.gov fprof.file_count: 276999672","2018-01-23T00:45:39.294-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T00:45:39.294516-05:00 lfs-mgmt2.ccs.ornl.gov fprof.sym_count: 6100807","2018-01-23T00:45:39.294-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T00:45:39.294392-05:00 lfs-mgmt2.ccs.ornl.gov fprof.dir_count: 67683951","2018-01-23T00:45:39.294-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T00:45:39.294265-05:00 lfs-mgmt2.ccs.ornl.gov fprof.version: 0.16","2018-01-23T00:45:39.294-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-23T00:45:39.294075-05:00 lfs-mgmt2.ccs.ornl.gov fprof.rootpath: /lustre/atlas2","2018-01-23T00:45:39.294-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-09T01:40:29.558535-05:00 lfs-mgmt2.ccs.ornl.gov fprof.fsize_perc.hist: Bin_LE_4.00_KiB = 0.000510065233843, Bin_LE_8.00_KiB = 0.000945237684836, Bin_LE_16.00_KiB = 0.00270060112938, Bin_LE_32.00_KiB = 0.00490521270075, Bin_LE_64.00_KiB = 0.00645631069213, Bin_LE_128.00_KiB = 0.00721938130942, Bin_LE_256.00_KiB = 0.0553935531502, Bin_LE_512.00_KiB = 0.0428632022553, Bin_LE_1.00_MiB = 0.232549103503, Bin_LE_2.00_MiB = 0.42313428413, Bin_LE_4.00_MiB = 1.26259046783, Bin_LE_16.00_MiB = 6.1711965042, Bin_LE_32.00_MiB = 2.13787065711, Bin_LE_64.00_MiB = 7.67711968738, Bin_LE_128.00_MiB = 9.87271269946, Bin_LE_256.00_MiB = 2.87947438869, Bin_LE_512.00_MiB = 3.14464600964, Bin_LE_1.00_GiB = 4.8503704612, Bin_LE_4.00_GiB = 16.0251332415, Bin_LE_64.00_GiB = 28.9729156403, Bin_LE_128.00_GiB = 2.04066362572, Bin_LE_256.00_GiB = 2.99479597838, Bin_LE_512.00_GiB = 3.95812698992, Bin_LE_1.00_TiB = 3.73793002161, Bin_LE_4.00_TiB = 2.06417860047, Bin_GT_4.00_TiB = 1.43359807486","2018-01-09T01:40:29.558-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-09T01:40:29.558024-05:00 lfs-mgmt2.ccs.ornl.gov fprof.filecount.hist: Bin_LE_4.00_KiB = 45132908, Bin_LE_8.00_KiB = 13273008, Bin_LE_16.00_KiB = 16472764, Bin_LE_32.00_KiB = 16586910, Bin_LE_64.00_KiB = 11012085, Bin_LE_128.00_KiB = 6181426, Bin_LE_256.00_KiB = 24831610, Bin_LE_512.00_KiB = 9408229, Bin_LE_1.00_MiB = 25411323, Bin_LE_2.00_MiB = 23445923, Bin_LE_4.00_MiB = 30356056, Bin_LE_16.00_MiB = 50867213, Bin_LE_32.00_MiB = 6552164, Bin_LE_64.00_MiB = 12975684, Bin_LE_128.00_MiB = 8396879, Bin_LE_256.00_MiB = 1206909, Bin_LE_512.00_MiB = 682404, Bin_LE_1.00_GiB = 528395, Bin_LE_4.00_GiB = 717119, Bin_LE_64.00_GiB = 219465, Bin_LE_128.00_GiB = 1794, Bin_LE_256.00_GiB = 1253, Bin_LE_512.00_GiB = 752, Bin_LE_1.00_TiB = 367, Bin_LE_4.00_TiB = 90, Bin_GT_4.00_TiB = 12","2018-01-09T01:40:29.558-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-09T01:40:29.538729-05:00 lfs-mgmt2.ccs.ornl.gov fprof.scan_rate: 7147","2018-01-09T01:40:29.538-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-09T01:40:29.538618-05:00 lfs-mgmt2.ccs.ornl.gov fprof.walktime: 14h 22m","2018-01-09T01:40:29.538-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-09T01:40:29.538503-05:00 lfs-mgmt2.ccs.ornl.gov fprof.avg_file_size: 25.29 MiB","2018-01-09T01:40:29.538-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-09T01:40:29.538395-05:00 lfs-mgmt2.ccs.ornl.gov fprof.total_file_size: 7337.71 TiB","2018-01-09T01:40:29.538-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-09T01:40:29.538286-05:00 lfs-mgmt2.ccs.ornl.gov fprof.file_count: 304262742","2018-01-09T01:40:29.538-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-09T01:40:29.538179-05:00 lfs-mgmt2.ccs.ornl.gov fprof.sym_count: 10314980","2018-01-09T01:40:29.538-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-09T01:40:29.538063-05:00 lfs-mgmt2.ccs.ornl.gov fprof.dir_count: 55375343","2018-01-09T01:40:29.538-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-09T01:40:29.537947-05:00 lfs-mgmt2.ccs.ornl.gov fprof.version: 0.16","2018-01-09T01:40:29.537-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-09T01:40:29.537762-05:00 lfs-mgmt2.ccs.ornl.gov fprof.rootpath: /lustre/atlas1","2018-01-09T01:40:29.537-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-09T01:03:18.405490-05:00 lfs-mgmt2.ccs.ornl.gov fprof.fsize_perc.hist: Bin_LE_4.00_KiB = 0.00106045291582, Bin_LE_8.00_KiB = 0.00102369682669, Bin_LE_16.00_KiB = 0.00161338228317, Bin_LE_32.00_KiB = 0.00334630621778, Bin_LE_64.00_KiB = 0.00933725960575, Bin_LE_128.00_KiB = 0.00906487849954, Bin_LE_256.00_KiB = 0.0147766298399, Bin_LE_512.00_KiB = 0.0279551747667, Bin_LE_1.00_MiB = 0.286111553973, Bin_LE_2.00_MiB = 0.103954346766, Bin_LE_4.00_MiB = 0.339832243668, Bin_LE_16.00_MiB = 0.86865622487, Bin_LE_32.00_MiB = 0.620360592884, Bin_LE_64.00_MiB = 2.24373138798, Bin_LE_128.00_MiB = 2.66242832791, Bin_LE_256.00_MiB = 1.51121038237, Bin_LE_512.00_MiB = 3.6005408533, Bin_LE_1.00_GiB = 4.37514788281, Bin_LE_4.00_GiB = 6.30413806744, Bin_LE_64.00_GiB = 30.6628450185, Bin_LE_128.00_GiB = 1.53772259634, Bin_LE_256.00_GiB = 13.0838373484, Bin_LE_512.00_GiB = 3.60995112805, Bin_LE_1.00_TiB = 3.99705944752, Bin_LE_4.00_TiB = 6.6670270432, Bin_GT_4.00_TiB = 17.4572677731","2018-01-09T01:03:18.405-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-09T01:03:18.404818-05:00 lfs-mgmt2.ccs.ornl.gov fprof.filecount.hist: Bin_LE_4.00_KiB = 91690921, Bin_LE_8.00_KiB = 17035972, Bin_LE_16.00_KiB = 13794923, Bin_LE_32.00_KiB = 14444291, Bin_LE_64.00_KiB = 18759408, Bin_LE_128.00_KiB = 9615986, Bin_LE_256.00_KiB = 7948904, Bin_LE_512.00_KiB = 7262770, Bin_LE_1.00_MiB = 34400389, Bin_LE_2.00_MiB = 6793133, Bin_LE_4.00_MiB = 10938062, Bin_LE_16.00_MiB = 9619495, Bin_LE_32.00_MiB = 2275558, Bin_LE_64.00_MiB = 4234667, Bin_LE_128.00_MiB = 2582628, Bin_LE_256.00_MiB = 658823, Bin_LE_512.00_MiB = 838085, Bin_LE_1.00_GiB = 609268, Bin_LE_4.00_GiB = 385989, Bin_LE_64.00_GiB = 363728, Bin_LE_128.00_GiB = 1622, Bin_LE_256.00_GiB = 7800, Bin_LE_512.00_GiB = 755, Bin_LE_1.00_TiB = 416, Bin_LE_4.00_TiB = 266, Bin_GT_4.00_TiB = 260","2018-01-09T01:03:18.404-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-09T01:03:18.389357-05:00 lfs-mgmt2.ccs.ornl.gov fprof.scan_rate: 6591","2018-01-09T01:03:18.389-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-09T01:03:18.389222-05:00 lfs-mgmt2.ccs.ornl.gov fprof.walktime: 13h 50m","2018-01-09T01:03:18.389-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-09T01:03:18.389089-05:00 lfs-mgmt2.ccs.ornl.gov fprof.avg_file_size: 36.89 MiB","2018-01-09T01:03:18.389-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-09T01:03:18.388973-05:00 lfs-mgmt2.ccs.ornl.gov fprof.total_file_size: 8945.20 TiB","2018-01-09T01:03:18.388-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-09T01:03:18.388864-05:00 lfs-mgmt2.ccs.ornl.gov fprof.file_count: 254264119","2018-01-09T01:03:18.388-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-09T01:03:18.388743-05:00 lfs-mgmt2.ccs.ornl.gov fprof.sym_count: 6130793","2018-01-09T01:03:18.388-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-09T01:03:18.388618-05:00 lfs-mgmt2.ccs.ornl.gov fprof.dir_count: 68110104","2018-01-09T01:03:18.388-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-09T01:03:18.388488-05:00 lfs-mgmt2.ccs.ornl.gov fprof.version: 0.16","2018-01-09T01:03:18.388-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
